TextFile,Disallowed Action,Label
199-current.txt,Violate applicable law,Violate law
6215-current.txt,copying,Distributing
6215-current.txt,non-automated “scraping”,Scraping
6215-current.txt,automated system,Robots
6215-current.txt,transmitting spam,Spam
6215-current.txt,compromise system integrity,Compromising
6215-current.txt,imposing large load,Overloading
6215-current.txt,uploading viruses,Viruses
6215-current.txt,collecting info,Data Harvesting
6215-current.txt,commercial solicitation,Solicitation
6215-current.txt,impersonation,Impersonation
6215-current.txt,bypassing measures,Bypassing
1710-current.txt,Use not in connection to video game,Unauthorized Use
1710-current.txt,Use via SDK with other credentials,Unauthorized Use
1710-current.txt,Use not as intended,Misuse
1657-current.txt,Posting offensive content,Offensive Content
1657-current.txt,Unauthorized access to another user’s account,Unauthorized Access
1657-current.txt,Harassing or bullying another user,Harassment/Bullying
1657-current.txt,Distributing viruses or malware,Viruses/Malware
1296-current.txt,Login,Unauthorized Access
1296-current.txt,Menu,Unauthorized Access
1296-current.txt,Sell,Unauthorized Access
1296-current.txt,Home,Unauthorized Access
1296-current.txt,Breach applicable law,Illegal Activity
1296-current.txt,Unlawful/Fraudulent,Illegal Activity
1296-current.txt,Harm minors,Illegal Activity
1296-current.txt,Content Standards,Illegal Activity
1296-current.txt,Spam,Illegal Activity
1296-current.txt,Viruses,Illegal Activity
1296-current.txt,Duplicate,Illegal Activity
1296-current.txt,Interfere/Damage,Illegal Activity
064-current.txt,Use in mission critical or high risk systems,High Risk Use
6688-current.txt,Unauthorised access,Unauthorised Access
6688-current.txt,Unauthorised use,Unauthorised Use
6688-current.txt,Interference with service,Interference
6688-current.txt,Unauthorised sharing,Unauthorised Sharing
6688-current.txt,Infringing copyright,Copyright Infringement
8643-current.txt,Unauthorized access,Unauthorized Access
8643-current.txt,Unauthorized use,Unauthorized Use
8643-current.txt,Distributing viruses,Virus Distribution
8643-current.txt,Sending spam,Spamming
097-current.txt,In any way that breaches any applicable local,"national or international law or regulation,Illegal activity"
097-current.txt,In any way that is unlawful or fraudulent,Illegal activity
097-current.txt,For the purpose of harming or attempting to harm minors in any way,Harm minors
097-current.txt,To send,"knowingly receive, upload, download, use or re-use any material which does not comply with our content standards,Violate content standards"
097-current.txt,To transmit,"or procure the sending of, any unsolicited or unauthorised advertising or promotional material or any other form of similar solicitation (spam),Spam"
2060-current.txt,Illegal activity,Illegal
2060-current.txt,Fraudulent or illegal use,Fraudulent
